Ведомость приема на обучение в институт;;;;;;;;
№ абит.;ФИО;Математика;Физика;Литература;Химия;Суммарный балл;Средний балл;Сообщение о зачислении
1;Петров П.П.;4;2;4;4;14;3,5;15
2;Иванов И.И.;2;4;4;5;15;3,75;16
3;Сидоров С.С.;5;5;3;2;15;3,75;17
4;Яков Я.Я.;2;5;2;2;11;2,75;18
5;Ламела Л.Л.;5;2;3;5;15;3,75;19
6;Ба Д.Б.;2;3;5;4;14;3,5;20
7;Ли С.С.;3;5;4;4;16;4;21
8;Цзюнь Ж.Э.;3;3;2;5;13;3,25;22
9;Квадрат К.У.;5;5;4;2;16;4;23
10;Молодец К.К.;4;5;5;5;19;4,75;24
Средний балл за экзамен;;3,5;3,9;3,6;3,8;;;
