Табельный номер;Фамилия И.О.;Оклад (руб.);Премия (руб.);Всего начислено (руб.);Удержано (руб.);К выдаче (руб.)
;;;30%;;13%;
101;Андреев А.А.;10000;3000;13000;1690;11310
102;Борисов Б.Б.;19050;5715;24765;3219,45;21545,55
103;Воронов В.В.;15100;4530;19630;2551,9;17078,1
104;Давыдова Д.Д.;16800;5040;21840;2839,2;19000,8
105;Егорова Е.Е.;12000;3600;15600;2028;13572
106;Ильин И.И.;18500;5550;24050;3126,5;20923,5
107;Куликова К.К.;16500;4950;21450;2788,5;18661,5
108;Лазарев Л.Л.;12000;3600;15600;2028;13572
109;Миронова М.М.;19050;5715;24765;3219,45;21545,55
110;Носова Н.Н.;15100;4530;19630;2551,9;17078,1
111;Потапов П.П.;16800;5040;21840;2839,2;19000,8
112;Рыков Р.Р.;10000;3000;13000;1690;11310
113;Смирнова С.С.;10500;3150;13650;1774,5;11875,5
114;Тихонова Т.Т.;17000;5100;22100;2873;19227
115;Яковлев Я.Я.;19000;5700;24700;3211;21489
Всего:;;227400;68220;295620;38430,6;257189,4
