Компенсация отдыха детей сотрудников;;;;;
Табельный номер;Фамилия И.О.;Стаж работы;Количество детей;Компенсация, руб;Место отдыха
101;Андреев А.А.;2;1;1500;2500
102;Борисов Б.Б.;5;1;1500;2500
103;Воронов В.В.;14;2;1500;2500
104;Давыдова Д.Д.;10;3;1500;2500
105;Егорова Е.Е.;6;2;1500;2500
106;Ильин И.И.;8;3;1500;2500
107;Куликова К.К.;15;4;1500;2500
108;Лазарев Л.Л.;10;1;1500;2500
109;Миронова М.М.;1;2;1500;2500
110;Носова Н.Н.;8;3;1500;2500
111;Потапов П.П.;6;2;1500;2500
112;Рыков Р.Р.;5;3;1500;2500
113;Смирнова С.С.;11;1;1500;2500
114;Тихонова Т.Т.;12;4;1500;2500
115;Яковлев Я.Я.;7;1;1500;2500
