Фамилия И.О.;Пол;Отдел;Оклад;Год рождения;Должность;Возраст;"Юбилей
 в 2020 году"
Андреев А.А.;м;АСУ;10000;14.12.2004;зав. отделом;18;
Борисов Б.Б.;м;АСУ;19050;15.05.1957;программист;65;юбилей
Воронов В.В.;м;Бухгалтерия;15100;02.02.1978;бухгалтер;45;юбилей
Давыдова Д.Д.;ж;Бухгалтерия;16800;04.01.1977;бухгалтер;46;
Егорова Е.Е.;ж;Бухгалтерия;12000;11.11.1964;гл. бухгалтер;58;
Ильин И.И.;м;Охраны;18500;01.03.1987;охранник;36;
Куликова К.К.;ж;АСУ;16500;15.03.1957;программист;66;
Лазарев Л.Л.;м;Продажи;12000;25.12.1987;маркетолог;35;юбилей
Миронова М.М.;ж;Продажи;19050;10.10.1985;зав. отделом;37;
Носова Н.Н.;ж;Производство;15100;02.02.1997;зав. отделом;26;
Потапов П.П.;м;Производство;16800;22.12.1960;маркетолог;62;
Рыков Р.Р.;м;Продажи;10000;05.10.1957;консультант;65;юбилей
Смирнова С.С.;ж;Продажи;10500;08.08.1961;консультант;61;
Тихонова Т.Т.;ж;Продажи;17000;26.07.1961;консультант;61;
Яковлев Я.Я.;м;Производство;19000;17.09.1974;дизайнер;48;
