"Самостоятельная работа ""Проходной балл""";;;;;;;;
;;;;;;;;
Учебное пособие: 2_Лабораторные, контрольные и самостоятельные работы по информатике_2008.pdf, стр. 70.;;;;;;;;
;;;;;;;;
Ведомость приема на обучение в институт;;;;;;;;
;;Проходной балл;;15;;;;
;;;;;;;;
№ абит.;ФИО;Математика;Физика;Литература;Химия;Суммарный балл;Средний балл;Сообщение о зачислении
1;Петров П.П.;3;5;4;2;14;3,5;Отказать
2;Иванов И.И.;5;4;3;2;14;3,5;Отказать
3;Сидоров С.С.;4;5;2;2;13;3,25;Отказать
4;Яков Я.Я.;5;2;2;4;13;3,25;Отказать
5;Ламела Л.Л.;4;4;3;3;14;3,5;Отказать
6;Ба Д.Б.;3;2;2;3;10;2,5;Отказать
7;Ли С.С.;2;5;5;2;14;3,5;Отказать
8;Цзюнь Ж.Э.;2;4;5;3;14;3,5;Отказать
9;Квадрат К.У.;5;5;4;2;16;4;Отказать
10;Молодец К.К.;3;5;2;5;15;3,75;Отказать
Средний балл за экзамен;;3,6;4,1;3,2;2,8;;;
