Ведомость начисления заработной платы;;;;;;;;;;;
за сентябрь 2017 г.;;;;;;;;;;;
;;;;;;;;;;;
Табельный номер;Фамилия И.О.;Оклад (руб.);Премия (руб.);Всего начислено (руб.);Удержано (руб.);К выдаче (руб.);;;;;
;;;30%;;13%;;;;;;
101;Андреев А.А.;10000,00;3000,00;13000,00;1690,00;11310,00;;;;;
102;Борисов Б.Б.;19050,00;5715,00;24765,00;3219,45;21545,55;;;;;
103;Воронов В.В.;15100,00;4530,00;19630,00;2551,90;17078,10;;;;;
104;Давыдова Д.Д.;16800,00;5040,00;21840,00;2839,20;19000,80;;;;;
105;Егорова Е.Е.;12000,00;3600,00;15600,00;2028,00;13572,00;;;;;
106;Ильин И.И.;18500,00;5550,00;24050,00;3126,50;20923,50;;;;;
107;Куликова К.К.;16500,00;4950,00;21450,00;2788,50;18661,50;;;;;
108;Лазарев Л.Л.;12000,00;3600,00;15600,00;2028,00;13572,00;;;;;
109;Миронова М.М.;19050,00;5715,00;24765,00;3219,45;21545,55;;;;;
110;Носова Н.Н.;15100,00;4530,00;19630,00;2551,90;17078,10;;;;;
111;Потапов П.П.;16800,00;5040,00;21840,00;2839,20;19000,80;;;;;
112;Рыков Р.Р.;10000,00;3000,00;13000,00;1690,00;11310,00;;;;;
113;Смирнова С.С.;10500,00;3150,00;13650,00;1774,50;11875,50;;;;;
114;Тихонова Т.Т.;17000,00;5100,00;22100,00;2873,00;19227,00;;;;;
115;Яковлев Я.Я.;19000,00;5700,00;24700,00;3211,00;21489,00;;;;;
Всего:;;227400,00;68220,00;295620,00;38430,60;257189,40;;;;;
;;;;;;;;;;;
;;;;Минимальный доход;;11310,00;;;;;
;;;;Максимальный доход;;21545,55;;;;;
;;;;Средний доход;;17145,96;;;;;
;;;;;;;;;;;
